GR,log10(LLD),log10(MSFL),DT,RHOB,NPHI,PEF
21.95,2.2823,2.1886,51.8,2.66,0.01,5.47
26.47,2.2143,1.7483,52.16,2.65,0.02,5.21
28.6,2.0587,1.4568,56.07,2.58,0.05,4.91
29.36,1.9536,1.3025,57.18,2.49,0.08,4.81
26.49,1.9239,1.4994,57.83,2.5,0.08,4.98
27.27,2.0811,1.6874,57.99,2.58,0.06,5.8
27.77,2.1009,1.7399,56.6,2.6,0.04,5.13
33.41,2.0996,1.5649,56.57,2.59,0.05,4.86
25.68,2.0637,1.7763,55,2.59,0.04,4.83
21.46,2.0144,1.6363,55.4,2.56,0.04,5.21
23.27,1.9371,1.6767,57.1,2.55,0.05,4.96
23.05,1.9428,1.6078,56,2.6,0.04,4.82
18.73,2.0312,2.0906,52.8,2.64,0.03,5.01
18.73,2.0513,2.2999,52.9,2.63,0.04,5.39
13.28,1.9742,2.5941,55.6,2.59,0.05,4.89
14.5,1.9248,2.0543,54.9,2.61,0.03,5.23
18.63,1.9108,2.0409,54.4,2.63,0.02,5.18
16.98,1.8841,1.6905,53.2,2.68,0.02,4.25
16.45,1.6066,2.7853,54.31,2.65,0.03,4.12
18.19,1.4334,1.4658,56.74,2.65,0.05,4.76
11.32,1.6307,1.8956,53.4,2.65,0.03,4.98
12.62,1.6849,1.994,53.5,2.65,0.03,5.01
13.39,1.7166,1.9,55.2,2.62,0.03,4.49
11.65,1.8156,2.2636,54.3,2.62,0.04,4.69
12.56,1.8065,2.0304,53.76,2.62,0.04,5.43
12.49,1.7617,1.7477,53.4,2.63,0.02,5.4
11.69,1.814,1.6761,52.31,2.67,0.01,5.37
10.58,2.0633,2.0032,50.68,2.68,0,5.56
10.78,2.3732,2.3823,49.4,2.69,0,5.23
11.66,1.8663,2.9689,52.6,2.66,0.02,5.1
8.7,1.7682,1.2735,54.64,2.63,0.03,5.27
7.96,1.723,1.7785,55.54,2.61,0.03,5.33
10.18,1.7663,1.82,53.8,2.65,0.02,5.32
9.44,1.9034,2.2214,53.08,2.65,0.02,5.26
12.68,1.7134,2.1629,52.46,2.61,0.05,5.12
21.97,1.6928,1.6574,54.94,2.66,0.09,4.28
35.83,1.2167,1.8733,59.61,2.62,0.14,4.14
16.45,1.1136,0.6551,60.8,2.56,0.13,5.11
14.1,1.2555,1.2373,64.3,2.44,0.16,4.61
15.51,0.939,0.9101,68.8,2.43,0.19,4.63
14.86,0.8802,0.6618,69.5,2.44,0.18,4.33
14.71,0.8716,0.8549,71.5,2.4,0.2,4.57
19.21,0.9133,0.9542,68.3,2.45,0.17,4.34
25.43,0.939,1.1307,66.8,2.47,0.16,4.71
22.6,0.9841,0.9263,67.03,2.45,0.17,4.71
20.17,0.9708,0.9624,65.57,2.44,0.15,4.37
20.58,0.9566,0.8267,67.59,2.43,0.16,4.31
23.27,0.935,0.6365,68.97,2.37,0.18,4.26
23.87,0.9269,0.721,69.79,2.39,0.19,4.45
18.89,0.9405,0.8716,69.42,2.41,0.17,4.66
18.4,0.9294,0.8122,67.7,2.4,0.16,5.1
17.17,0.9823,0.8739,65.83,2.39,0.16,4.61
17.48,1.0294,1.1449,65.12,2.42,0.15,4.48
22.48,1.0103,1.5604,65.6,2.35,0.19,4.58
11.18,0.8426,0.6981,69,2.42,0.15,4.95
12.14,0.8859,0.5145,70.6,2.45,0.16,4.81
14.27,0.8904,0.6444,67.2,2.47,0.17,4.86
17.73,1.0414,0.9248,61.4,2.49,0.12,4.89
21.5,1.3577,1.516,57.2,2.62,0.06,5.02
20.16,1.346,1.3591,55.9,2.61,0.05,4.89
25.26,1.1508,1.574,56.6,2.59,0.09,4.31
43.88,1.0362,1.453,59.78,2.6,0.13,3.87
42.33,1.1917,1.0523,57.87,2.6,0.08,4.66
34.85,1.343,1.4586,54.07,2.59,0.03,4.31
35.18,1.3876,2.4216,53.52,2.55,0.05,4.66
35.08,1.4475,2.4346,53.2,2.58,0.05,5.71
37.34,1.4944,1.976,53.4,2.58,0.04,5.05
30.89,1.0438,0.7731,57.71,2.5,0.08,4.43
24.68,1.2258,1.9614,54.13,2.57,0.05,5.34
24.11,1.2797,0.837,52.5,2.63,0.03,5.13
29.32,1.4007,1.3028,55.4,2.6,0.02,4.37
35.59,1.6945,1.3642,35,2.62,0.02,5.11
43.91,1.78,2.1194,53.5,2.62,0.02,4.96
40.64,1.6949,2.281,55.6,2.59,0.04,4.98
29.93,1.7013,1.5886,55.1,2.59,0.03,5.16
30.32,1.7436,2.2304,54.6,2.6,0.04,5.27
36.4,1.796,1.8794,55.3,2.62,0.03,4.75
33.57,1.7823,2.2188,54.8,2.61,0.02,4.51
30.1,1.7339,2.7501,54,2.63,0.03,4.71
33.25,1.6349,1.5997,56.2,2.62,0.04,4.2
32.34,1.656,1.9623,55.7,2.63,0.03,3.94
28.02,1.6514,1.8865,55.3,2.61,0.03,3.8
28.55,1.6102,2.1921,55.7,2.62,0.04,3.98
25.92,1.5781,1.68,56.33,2.61,0.03,4.13
25.45,1.6272,1.6611,55.9,2.62,0.03,3.93
22,1.7926,1.942,53.52,2.65,0.02,4.2
20.69,1.9614,1.9601,52.71,2.67,0.01,4.78
23.61,2.008,2.4491,51.6,2.68,0.01,5.08
25.77,1.978,1.9634,52,2.68,0.01,4.65
26.27,1.8624,1.8949,53.8,2.65,0.02,4.11
48.95,1.4728,1.897,58.5,2.61,0.06,3.68
33.52,1.769,1.6968,56.66,2.67,0.08,5.14
17.38,2.1665,1.9103,53.78,2.63,0.09,5.27
13.59,1.8528,2.8549,58.88,2.55,0.13,4.93
12.31,1.7659,1.7065,62.64,2.49,0.15,4.89
12.25,1.8269,1.4967,62.16,2.52,0.13,4.86
14.89,1.8592,1.3709,61.15,2.53,0.12,4.93
15.38,1.9459,1.3408,56.71,2.57,0.08,4.84
17.65,2.0392,1.5039,54.67,2.59,0.06,4.85
20.26,2.088,1.5536,53.82,2.62,0.05,5.06
19.81,2.1396,1.6338,53.22,2.64,0.04,5.15
18.69,2.12,1.6632,52.83,2.65,0.04,5.09
20.21,2.1256,1.6724,52.43,2.66,0.03,5.57
19.94,2.1681,1.535,52.25,2.65,0.03,5.38
19.45,2.1738,1.7409,52.34,2.66,0.03,5.28
17.37,2.0357,1.6679,53.58,2.64,0.05,5.85
18.94,1.9209,1.5663,56.31,2.57,0.07,5.57
18.87,1.9966,1.3608,56.53,2.58,0.06,5.06
18.11,2.1194,1.7366,53.69,2.63,0.04,5.02
21.28,2.2819,1.5325,51.72,2.67,0.03,5.29
17.52,2.1893,1.7567,53.47,2.65,0.04,5.13
19.13,2.1037,1.5776,55.73,2.63,0.06,5.44
17.77,1.9836,1.4084,57.24,2.59,0.08,5.58
17.45,1.8972,1.5038,58.4,2.55,0.1,5.33
21.55,1.8922,1.6017,58.55,2.56,0.09,5.23
24.54,2.0069,1.5152,57.11,2.59,0.08,4.82
25.36,2.0126,1.574,58.66,2.57,0.09,4.78
22.37,2.0135,1.3929,57.47,2.57,0.07,5.42
22.48,2.1348,1.641,54.06,2.63,0.04,5.31
23.06,2.0611,2.0397,55.03,2.62,0.05,5.71
27.68,2.0025,1.6177,55.42,2.61,0.05,5.35
30.77,2.3939,2.1102,51.33,2.67,0.02,4.95
34.25,2.193,2.2634,52.91,2.63,0.04,5.41
30.42,2.1875,2.1414,52.8,2.63,0.04,5.27
31.36,2.2311,1.8073,52.29,2.64,0.03,5.15
34.46,2.2562,2.1527,52.13,2.65,0.04,5.83
41,2.2057,2.3429,52.44,2.62,0.04,5.36
40.79,2.2214,2.3032,52.44,2.63,0.03,5.13
35.21,2.2439,2.3856,52.17,2.64,0.04,5.56
33.34,2.232,2.3032,51.91,2.65,0.03,5.3
24.15,2.1411,1.9956,51.61,2.66,0.02,5.61
30.14,2.2109,2.1638,52.06,2.65,0.04,5.36
27.3,1.9156,1.924,56.22,2.6,0.07,5.13
26.97,1.8013,1.5005,57.35,2.6,0.07,5.51
29.75,1.8551,1.7941,55.77,2.59,0.07,5.83
30.09,1.9435,1.598,54.01,2.6,0.05,5.85
27.13,1.9865,1.645,52.84,2.6,0.04,5.13
26.39,2.0408,1.5122,53.28,2.63,0.04,5.1
27.09,2.0846,1.9391,53.64,2.65,0.04,5.17
27.78,2.116,1.8459,52.97,2.63,0.04,5.13
32.52,2.0224,1.7597,54.74,2.63,0.03,5.77
32.77,2.1249,1.636,53.85,2.6,0.05,5.1
49.29,2.2426,2.0728,51.83,2.65,0.04,5.38
56.53,2.1552,2.2109,52.38,2.64,0.04,5.17
44.39,2.2759,2.2479,52.48,2.64,0.03,5.62
33.59,2.4252,2.4272,49.69,2.69,0.01,5.45
30.14,2.5648,3.0249,48.89,2.7,0.01,4.9
36.04,2.5336,2.6292,48.95,2.71,0.01,4.93
41.15,2.2467,2.5563,50.06,2.68,0.03,5.76
31.41,1.9944,1.9651,53.67,2.61,0.07,5.72
26.13,1.84,1.9544,57.44,2.55,0.11,5.08
22.91,1.8228,1.6263,56.61,2.57,0.09,4.74
19.81,2.0136,2.1004,52.25,2.66,0.04,5.46
17.82,2.0574,2.27,50.31,2.68,0.02,5.77
19.83,2.1114,2.2338,50.34,2.68,0.02,5.17
24.15,1.8319,2.0107,59.29,2.55,0.11,5.32
29.09,1.5494,1.4971,64.56,2.41,0.17,5.32
19.18,1.7054,1.4639,59.33,2.49,0.11,5.17
14.66,2.0134,1.7824,54.47,2.59,0.06,5.21
15,2.298,2.1458,51.84,2.66,0.03,5.53
16.62,2.3957,2.2762,50.14,2.68,0.02,5.21
17.41,2.2056,2.4093,51.3,2.67,0.03,5.32
19.4,2.0974,2.0946,51.8,2.66,0.04,5.39
18.41,2.1529,2.1015,50.5,2.65,0.03,5.23
17.23,2.1795,2.0658,49.96,2.67,0.03,4.93
18.23,2.1302,2.2087,50.86,2.66,0.03,4.72
21.35,2.0038,2.1191,54.28,2.59,0.07,4.73
24.02,1.7426,1.9862,59.11,2.51,0.12,4.56
19.37,1.4822,1.1942,62.16,2.45,0.16,4.7
17.04,1.3766,1.1458,61.58,2.48,0.14,4.8
15.99,1.4191,1.3664,59.09,2.51,0.12,5.15
14.04,1.5441,1.4619,58.06,2.55,0.1,5.11
11.58,1.5587,1.5866,59.84,2.51,0.12,4.79
11.15,1.4333,1.2209,61.88,2.47,0.14,4.71
11.33,1.303,1.4326,63.14,2.47,0.15,4.67
10.85,1.2068,1.1232,63.7,2.48,0.16,5.13
10.94,1.2345,1.2206,63.48,2.48,0.15,4.95
10.05,1.34,1.1649,62.06,2.48,0.12,5.26
11.99,1.4624,1.372,59.91,2.52,0.11,5
14.74,1.471,1.4747,59.58,2.52,0.12,4.83
14.87,1.4404,1.3844,59.39,2.53,0.11,5.11
14.46,1.4532,1.5185,59.5,2.54,0.11,5.1
14.03,1.4379,1.2728,61.14,2.5,0.13,5.07
15.2,1.4131,1.1526,63.06,2.46,0.15,4.99
15.25,1.5087,1.1219,63.34,2.47,0.16,4.72
14.78,1.6023,1.404,62.14,2.49,0.14,4.86
15.11,1.6967,1.3782,59.55,2.51,0.12,4.78
15.63,1.7197,1.4784,58.23,2.52,0.1,4.66
14.32,1.81,1.7263,57,2.54,0.08,4.83
14.69,1.8532,1.5552,54.89,2.56,0.07,5
16.52,1.7213,1.7712,55.86,2.56,0.09,4.99
14.75,1.6355,1.4745,61.13,2.46,0.13,4.8
12.81,1.586,1.2617,65.59,2.43,0.17,4.86
10.82,1.5945,1.0906,67.77,2.43,0.19,4.8
10.68,1.6232,1.2193,67.83,2.4,0.18,4.77
11.4,1.6523,1.3442,67.64,2.43,0.17,4.41
10.4,1.6631,1.2938,66.4,2.46,0.16,4.45
10.72,1.6472,1.4186,64.1,2.46,0.15,4.62
9.26,1.6479,1.5454,62.62,2.46,0.13,4.58
8.97,1.7023,1.3909,60.23,2.49,0.12,4.81
10.81,1.7233,1.7597,60.52,2.46,0.14,4.85
10.8,1.6439,1.7851,61.57,2.47,0.14,4.79
10.78,1.6523,1.4002,59.62,2.49,0.13,4.93
11.23,1.7761,1.7833,56.6,2.55,0.09,4.55
12.65,1.7618,1.8239,57.07,2.57,0.09,5
12.81,1.7369,1.5709,56.39,2.6,0.08,4.82
13.58,1.772,1.7325,56.33,2.59,0.09,4.59
13.14,1.708,1.9769,60.64,2.54,0.11,4.96
11.66,1.6643,1.5784,62.3,2.51,0.12,5.33
10.85,1.6728,1.3899,61.42,2.5,0.12,5.16
9.75,1.7413,1.6445,58.53,2.55,0.11,4.68
9.7,1.733,1.6327,59.58,2.54,0.11,4.55
9.49,1.7843,1.5815,59.41,2.58,0.1,5.03
9.98,1.783,1.7537,58.61,2.58,0.1,5.05
10.05,1.7833,1.4538,59.17,2.55,0.11,4.51
9.32,1.8439,1.7028,58.52,2.57,0.09,4.95
9.49,1.7812,1.763,56.45,2.61,0.08,5.09
11.19,1.8165,1.6616,56.69,2.61,0.08,5.22
8.92,1.7765,1.9506,59.64,2.54,0.11,4.9
8.62,1.5763,1.6541,63.3,2.48,0.14,4.9
8.6,1.4181,1.2783,65.48,2.42,0.15,4.95
10.1,1.2686,0.94,69.34,2.42,0.19,4.74
10.86,1.3858,1.1297,67.97,2.43,0.18,4.69
12.05,1.6263,1.1948,61.08,2.53,0.12,5.1
11.47,1.6138,1.6161,55.52,2.63,0.08,5.35
12.28,1.4968,1.6936,55.56,2.62,0.07,5.23
28.69,1.6919,1.4098,55.95,2.61,0.08,5.05
40.33,1.9166,1.8649,53.86,2.61,0.06,5.32
27.66,1.9571,1.9474,52.51,2.66,0.04,5.42
25.85,1.9107,2.0055,53.58,2.64,0.05,5.26
28.37,1.8103,1.889,55.2,2.65,0.06,5.82
27.67,1.895,1.5272,53.77,2.65,0.05,5.39
27.86,1.916,1.9278,54.58,2.63,0.04,4.99
31.75,1.9051,1.6391,55.11,2.62,0.06,4.95
35.54,1.864,1.7092,54.78,2.6,0.07,4.72
36.59,1.8458,1.5491,55.03,2.64,0.07,4.95
40.83,1.8218,1.5348,56.02,2.63,0.07,5.18
46.15,1.6787,1.3118,58.33,2.58,0.09,5.16
42.93,1.6651,1.1035,57.86,2.57,0.08,5.44
40.19,1.7637,1.7199,54.64,2.62,0.06,5.24
35.89,1.9245,1.849,52.91,2.66,0.04,5.1
32.84,1.9449,2.3834,53.12,2.63,0.04,4.79
32.18,1.9055,2.4479,53.54,2.61,0.03,4.63
40.53,1.8594,2.0075,53.35,2.62,0.04,4.42
46.88,1.9471,1.5144,52.72,2.66,0.06,4.83
45.55,1.9152,2.4973,53.11,2.64,0.05,4.63
36.04,2.0781,2.5958,51.89,2.65,0.05,5.02
23.48,1.9956,1.5136,53.72,2.63,0.07,5.69
28.52,2.2632,1.9549,52.16,2.63,0.05,6.14
31.86,2.3799,2.255,50.03,2.65,0.02,5.81
29.1,2.4769,2.1945,49.79,2.69,0.01,5.7
27.04,2.5858,2.6462,49.63,2.69,0.01,5.5
24.96,2.5664,2.5422,49.35,2.7,0.01,5.57
25.09,2.5316,2.4595,49.02,2.69,0.01,5.08
25.32,2.467,2.7658,49.38,2.71,0.01,4.97
31.39,2.4587,2.5844,49.48,2.7,0.01,5.54
31.3,2.3902,2.4573,49.58,2.68,0.02,5.34
33.42,2.3674,2.4449,49.66,2.67,0.02,4.92
35.05,2.265,2.3032,49.57,2.68,0.02,5.09
34.13,2.2634,2.6571,49.56,2.68,0.02,4.88
33.88,2.2818,2.8344,49.72,2.7,0.02,4.83
34.5,2.3412,2.8842,49.79,2.7,0.02,5.27
39.05,2.0591,2.4153,51.06,2.68,0.03,5.42
44.86,1.9482,2.2861,52.27,2.66,0.05,4.87
44.3,1.9031,1.7025,52.55,2.66,0.04,5.46
38.01,2.0181,1.7681,52.17,2.64,0.03,4.47
43.5,1.8968,1.6432,52.96,2.62,0.04,3.98
23.99,2.1532,2.3013,50.81,2.66,0.03,5.64
26.09,1.7811,2.1761,53.27,2.64,0.06,5.43
20.37,1.3251,1.6404,55.88,2.6,0.09,4.48
18.23,1.3516,1.4077,56.95,2.59,0.09,4.22
19.21,1.4973,1.8639,55.72,2.61,0.08,4.57
24.43,1.4776,2.1072,54,2.63,0.05,4.65
25.94,1.4201,1.942,54.15,2.64,0.05,4.42
27,1.5541,1.4741,55.06,2.63,0.06,4.36
28.84,1.7545,2.089,53.53,2.65,0.05,4.74
33.26,1.6265,1.8694,52.2,2.65,0.05,4.35
35.16,1.5209,1.4479,53.17,2.65,0.05,4.27
37.39,1.6593,1.7853,53.11,2.68,0.05,5.59
36.58,2.0557,1.9565,52,2.65,0.04,5.26
36.77,2.2819,2.2109,50.77,2.67,0.02,5.05
50.1,2.6233,2.308,49.56,2.7,0.02,4.6
48.06,2.0343,2.3761,50.98,2.66,0.03,4.32
29.88,1.9783,2.143,53.06,2.63,0.06,5.75
32.37,1.5867,1.9829,55.94,2.58,0.09,5.21
33.73,1.3809,1.8315,56.48,2.57,0.1,4.77
35.35,1.3981,1.7976,56.35,2.59,0.09,4.9
32.93,1.3562,1.7818,57.06,2.59,0.09,5.01
32.44,1.1075,1.5397,59.19,2.52,0.14,5.1
34.92,0.9489,1.4349,62.08,2.46,0.17,5.13
33.42,0.871,1.3836,65.36,2.43,0.18,4.9
30.8,0.8681,0.9818,64.81,2.44,0.18,4.85
34.21,0.9777,1.2776,61.72,2.51,0.15,4.63
32,1.273,1.6696,59.22,2.54,0.12,4.87
25.95,1.4373,1.6152,57.36,2.56,0.1,5.1
25.41,1.5459,1.5378,55.55,2.6,0.08,5.29
26.9,1.6008,1.7334,55.27,2.6,0.08,5.14
23.21,1.5733,1.4643,55.78,2.6,0.07,5.16
22.63,1.5398,1.5527,55.36,2.61,0.08,5.33
28.18,1.5544,1.6044,54.67,2.62,0.07,5.11
27.93,1.5797,1.5005,54.08,2.64,0.06,4.87
25.7,1.6312,1.9848,53.58,2.65,0.05,5.34
